BLUE_TOP,BLUE_JUNGLE,BLUE_MIDDLE,BLUE_BOTTOM,BLUE_UTILITY,RED_WINNER,RED_TOP,RED_JUNGLE,RED_MIDDLE,RED_BOTTOM,RED_UTILITY
Rumble,Zyra,Zed,Kaisa,Poppy,False,Yone,Kindred,Cassiopeia,Ziggs,Rell
Jax,Syndra,Swain,Twitch,Sion,False,Olaf,Diana,Taliyah,Smolder,Karma
Fiora,Trundle,Sylas,Anivia,Poppy,True,Cassiopeia,Nocturne,Hwei,Caitlyn,Neeko
Ornn,Viego,Syndra,Ezreal,Leona,True,Cassiopeia,Naafiri,Sylas,Ziggs,Senna
KSante,Nocturne,Anivia,Syndra,Alistar,False,Ambessa,Lillia,Ryze,Sivir,Bard
Shen,Hecarim,Ekko,Smolder,Senna,True,Poppy,RekSai,Ahri,Varus,Xerath
Jax,Ekko,Yone,Ezreal,Senna,False,Zoe,Nunu,Jayce,Ahri,Amumu
Aurora,Hecarim,Morgana,Mel,Senna,True,Jax,Nocturne,Orianna,Jhin,Neeko
Volibear,Hecarim,Nasus,Lux,FiddleSticks,False,Kayle,JarvanIV,Katarina,Xayah,Zilean
Poppy,Kindred,Sylas,Ezreal,Soraka,True,Fiora,Hecarim,Zoe,Mel,Janna
Ambessa,Lillia,Taliyah,Zeri,Nautilus,False,Yorick,Belveth,Syndra,Sivir,Elise
Aatrox,Pantheon,Ahri,Jinx,Soraka,True,Fiora,Jax,Viktor,Caitlyn,Thresh
Vladimir,Belveth,Taliyah,Ashe,Lulu,True,Jayce,Volibear,Ahri,Kaisa,Pyke
Kled,Belveth,Taliyah,Smolder,Soraka,True,RekSai,Shaco,Ahri,Tristana,Milio
Nocturne,Diana,Akshan,Ashe,Zyra,False,KSante,Kayn,Cassiopeia,Varus,Leona
Ekko,Trundle,Cassiopeia,Twitch,Rakan,True,Poppy,Diana,Lissandra,Kaisa,Nami
Zac,Nocturne,Ambessa,Yasuo,Pyke,True,Tryndamere,Rengar,Syndra,Varus,Leblanc
Ambessa,Rengar,Nunu,Ezreal,Nautilus,False,Gnar,Ekko,Tristana,Mel,Senna
Aurora,JarvanIV,Syndra,Corki,Lux,False,Quinn,Rumble,Yone,Jhin,Blitzcrank
Malphite,Belveth,Yasuo,Kaisa,Rakan,True,Mordekaiser,Talon,Akshan,Ziggs,Alistar
Ornn,Udyr,Smolder,Seraphine,Pyke,True,Mel,Nocturne,Sylas,Senna,Rakan
Akali,DrMundo,Hwei,Ezreal,Alistar,True,KSante,Trundle,Syndra,Cassiopeia,Jhin
Gragas,Rumble,Jayce,Smolder,Nautilus,True,Yorick,Khazix,Ryze,Yunara,Braum
Fiora,Zed,Syndra,Brand,Alistar,False,Quinn,Belveth,Akshan,Tristana,Soraka
Nasus,MasterYi,Syndra,Kaisa,Rell,False,Ryze,Qiyana,AurelionSol,Ashe,Thresh
